               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061155,            0.089478,            0.043823,             0.57056,             0.42167,             0.43583,             0.18334,            0.055719,             0.05342,            0.021796,            0.003333,            0.003333,            0.070003
                   1,            0.060158,            0.088207,            0.043424,             0.53965,             0.37264,             0.38206,             0.17156,            0.055639,             0.05477,            0.025605,           0.0066662,           0.0066662,            0.040003
                   2,            0.062175,            0.089637,            0.046326,             0.48328,             0.33173,             0.32722,             0.14735,             0.05655,             0.05657,            0.029298,           0.0099987,           0.0099987,            0.010002
                   3,            0.062229,            0.089576,            0.045929,             0.48675,             0.33863,             0.33331,             0.15468,            0.056177,            0.056395,            0.028794,           0.0099978,           0.0099978,           0.0099978
                   4,            0.060904,            0.088684,            0.043641,             0.50265,             0.35381,             0.35215,             0.16783,            0.055427,            0.055884,            0.027641,           0.0099978,           0.0099978,           0.0099978
                   5,            0.060171,            0.088058,            0.042183,             0.49853,             0.36767,             0.36213,             0.17679,            0.054745,            0.055703,            0.026983,           0.0099961,           0.0099961,           0.0099961
                   6,            0.059729,            0.087452,            0.041267,             0.50422,             0.37393,             0.36971,              0.1816,            0.054471,            0.055523,            0.026551,           0.0099938,           0.0099938,           0.0099938
                   7,            0.059416,            0.087117,            0.040868,             0.52595,             0.37031,             0.37572,             0.18526,            0.054235,            0.055388,            0.026183,           0.0099911,           0.0099911,           0.0099911
                   8,            0.059177,            0.086905,            0.040315,             0.52728,             0.37335,             0.37884,             0.18689,            0.054208,            0.055271,            0.025974,           0.0099879,           0.0099879,           0.0099879
                   9,            0.058909,            0.086729,            0.039761,             0.51652,             0.38272,              0.3819,             0.18875,             0.05414,            0.055144,            0.025786,           0.0099842,           0.0099842,           0.0099842
                  10,            0.058814,            0.086544,            0.039574,             0.51982,             0.38372,             0.38428,             0.19016,            0.054091,            0.055052,            0.025658,             0.00998,             0.00998,             0.00998
                  11,            0.058708,            0.086405,            0.039479,             0.52549,             0.38246,             0.38591,             0.19092,            0.054094,            0.054972,            0.025558,           0.0099753,           0.0099753,           0.0099753
                  12,            0.058564,            0.086259,            0.039254,             0.52845,             0.38297,             0.38761,             0.19195,            0.054076,            0.054902,            0.025458,           0.0099702,           0.0099702,           0.0099702
                  13,            0.058515,            0.086709,            0.038905,             0.51936,             0.38907,             0.38881,             0.19251,            0.054097,            0.054832,            0.025379,           0.0099645,           0.0099645,           0.0099645
                  14,            0.058482,            0.086138,            0.038867,             0.53766,             0.38083,             0.38975,             0.19285,            0.054115,            0.054784,            0.025315,           0.0099584,           0.0099584,           0.0099584
                  15,            0.058279,            0.086212,            0.038638,              0.5323,             0.38444,             0.39068,             0.19317,             0.05417,             0.05473,            0.025247,           0.0099517,           0.0099517,           0.0099517
                  16,            0.058358,            0.086358,            0.038532,             0.53473,              0.3842,             0.39134,             0.19346,            0.054213,             0.05469,            0.025189,           0.0099446,           0.0099446,           0.0099446
                  17,            0.058253,            0.086066,            0.038559,             0.52592,             0.38947,             0.39226,             0.19339,            0.054261,            0.054644,            0.025132,            0.009937,            0.009937,            0.009937
                  18,            0.058204,            0.085827,            0.038371,             0.51896,             0.39474,             0.39346,             0.19338,             0.05433,            0.054609,            0.025076,           0.0099289,           0.0099289,           0.0099289
                  19,            0.058204,            0.086007,            0.038287,             0.54074,              0.3854,             0.39427,             0.19384,            0.054351,            0.054571,            0.025031,           0.0099203,           0.0099203,           0.0099203
                  20,            0.058031,            0.085779,            0.038186,             0.53741,              0.3871,             0.39486,              0.1944,            0.054331,            0.054543,            0.024984,           0.0099112,           0.0099112,           0.0099112
                  21,            0.058063,            0.085654,            0.038132,             0.54619,             0.38401,             0.39581,             0.19504,            0.054285,            0.054518,            0.024938,           0.0099017,           0.0099017,           0.0099017
                  22,            0.058077,            0.085955,             0.03808,             0.53897,             0.38887,              0.3967,             0.19546,            0.054268,            0.054499,            0.024895,           0.0098916,           0.0098916,           0.0098916
