               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061032,            0.088802,            0.043797,             0.56583,             0.41814,             0.43157,             0.18797,            0.055311,            0.053908,            0.022211,            0.003333,            0.003333,            0.070003
                   1,            0.060075,              0.0883,            0.043437,             0.52647,             0.37918,             0.38318,             0.17244,            0.055731,            0.055477,            0.025615,           0.0066662,           0.0066662,            0.040003
                   2,            0.062113,            0.089004,            0.046471,             0.46938,             0.33274,             0.32293,             0.14702,            0.057214,            0.057215,            0.029528,           0.0099987,           0.0099987,            0.010002
                   3,            0.062228,              0.0892,            0.045958,             0.47728,              0.3382,             0.33036,             0.15324,            0.056854,            0.057133,            0.029008,           0.0099978,           0.0099978,           0.0099978
                   4,            0.060795,             0.08798,            0.043619,             0.47781,             0.35938,             0.34755,             0.16163,            0.056211,             0.05672,             0.02781,           0.0099978,           0.0099978,           0.0099978
                   5,            0.060094,            0.087527,            0.042268,             0.50178,             0.36111,             0.35765,              0.1736,            0.055427,            0.056484,             0.02723,           0.0099961,           0.0099961,           0.0099961
                   6,             0.05965,             0.08704,            0.041477,             0.52736,             0.35816,             0.36645,             0.17888,            0.055132,            0.056237,            0.026718,           0.0099938,           0.0099938,           0.0099938
                   7,            0.059211,              0.0864,              0.0408,             0.51317,             0.37153,             0.37234,             0.18278,            0.054876,             0.05607,            0.026379,           0.0099911,           0.0099911,           0.0099911
                   8,            0.059072,            0.086592,            0.040352,             0.52681,             0.37046,             0.37595,             0.18572,            0.054673,            0.055971,             0.02616,           0.0099879,           0.0099879,           0.0099879
                   9,            0.058834,            0.086308,            0.039916,             0.51641,              0.3792,             0.37856,             0.18717,            0.054601,            0.055871,            0.026005,           0.0099842,           0.0099842,           0.0099842
                  10,            0.058671,            0.085995,            0.039663,             0.51413,              0.3828,             0.38063,             0.18832,            0.054563,            0.055789,             0.02587,             0.00998,             0.00998,             0.00998
                  11,            0.058566,            0.085944,            0.039335,             0.52956,             0.37741,             0.38242,             0.18936,            0.054526,            0.055728,            0.025756,           0.0099753,           0.0099753,           0.0099753
                  12,            0.058449,            0.085604,            0.039195,             0.52622,             0.38131,             0.38396,             0.19018,            0.054523,            0.055665,            0.025667,           0.0099702,           0.0099702,           0.0099702
                  13,            0.058397,            0.085832,             0.03899,             0.52334,             0.38391,             0.38508,              0.1909,            0.054502,            0.055611,            0.025593,           0.0099645,           0.0099645,           0.0099645
                  14,            0.058356,            0.085515,            0.038985,             0.52632,             0.38404,             0.38623,             0.19156,            0.054483,            0.055563,            0.025524,           0.0099584,           0.0099584,           0.0099584
                  15,            0.058256,            0.085732,            0.038717,             0.51347,             0.39231,             0.38739,             0.19209,            0.054489,            0.055513,            0.025459,           0.0099517,           0.0099517,           0.0099517
                  16,            0.058185,            0.085723,            0.038628,             0.52931,             0.38497,             0.38828,             0.19243,            0.054486,            0.055451,            0.025394,           0.0099446,           0.0099446,           0.0099446
                  17,            0.058143,            0.085644,            0.038622,             0.53575,             0.38256,             0.38908,              0.1928,            0.054509,            0.055408,            0.025336,            0.009937,            0.009937,            0.009937
                  18,            0.058111,            0.085643,            0.038456,             0.53232,             0.38497,             0.38983,             0.19298,            0.054545,            0.055366,            0.025289,           0.0099289,           0.0099289,           0.0099289
                  19,            0.058072,            0.085449,             0.03836,             0.52767,             0.38826,              0.3907,             0.19326,             0.05456,            0.055315,            0.025229,           0.0099203,           0.0099203,           0.0099203
                  20,            0.058011,            0.085364,            0.038219,             0.53187,             0.38751,             0.39153,             0.19375,            0.054564,            0.055286,            0.025173,           0.0099112,           0.0099112,           0.0099112
                  21,            0.057973,            0.085054,            0.038242,             0.52667,             0.39051,             0.39219,             0.19406,            0.054574,            0.055256,            0.025134,           0.0099017,           0.0099017,           0.0099017
                  22,            0.057879,             0.08505,            0.038098,             0.53015,             0.38918,             0.39307,             0.19457,            0.054568,             0.05523,            0.025083,           0.0098916,           0.0098916,           0.0098916
                  23,            0.057866,            0.085169,            0.038037,             0.53238,             0.38921,             0.39391,             0.19505,            0.054558,            0.055202,            0.025036,           0.0098811,           0.0098811,           0.0098811
                  24,            0.057873,            0.085168,            0.037941,             0.54503,             0.38404,             0.39455,             0.19524,             0.05457,            0.055182,            0.024995,           0.0098701,           0.0098701,           0.0098701
                  25,            0.057808,            0.085158,             0.03783,               0.544,             0.38561,             0.39515,             0.19555,            0.054578,            0.055157,            0.024959,           0.0098586,           0.0098586,           0.0098586
                  26,             0.05785,            0.085437,            0.037835,             0.54395,              0.3861,             0.39568,             0.19579,             0.05456,            0.055144,            0.024913,           0.0098467,           0.0098467,           0.0098467
                  27,            0.057825,            0.085484,            0.037835,             0.52644,              0.3955,             0.39632,             0.19624,            0.054552,            0.055129,            0.024874,           0.0098342,           0.0098342,           0.0098342
                  28,            0.057771,            0.085224,            0.037676,             0.53787,             0.39077,             0.39712,              0.1966,            0.054543,            0.055114,            0.024839,           0.0098213,           0.0098213,           0.0098213
                  29,            0.057705,             0.08521,            0.037723,             0.52938,             0.39589,             0.39743,             0.19668,            0.054561,            0.055097,            0.024793,           0.0098079,           0.0098079,           0.0098079
                  30,            0.057693,            0.084948,            0.037675,             0.53126,             0.39551,             0.39822,             0.19703,            0.054546,            0.055078,            0.024754,           0.0097941,           0.0097941,           0.0097941
                  31,            0.057747,              0.0854,            0.037476,             0.53113,             0.39628,             0.39895,             0.19781,            0.054488,            0.055069,            0.024718,           0.0097798,           0.0097798,           0.0097798
                  32,            0.057588,            0.085077,            0.037521,             0.54021,              0.3927,             0.39988,             0.19827,            0.054473,            0.055053,            0.024673,            0.009765,            0.009765,            0.009765
                  33,            0.057611,            0.085182,            0.037468,             0.53277,             0.39713,             0.40058,              0.1985,             0.05445,            0.055039,            0.024621,           0.0097497,           0.0097497,           0.0097497
                  34,            0.057594,            0.085047,            0.037409,             0.53828,             0.39512,             0.40119,             0.19878,            0.054447,            0.055029,             0.02458,            0.009734,            0.009734,            0.009734
                  35,            0.057458,            0.084693,            0.037319,             0.53592,             0.39718,             0.40188,             0.19914,            0.054421,            0.055014,            0.024541,           0.0097178,           0.0097178,           0.0097178
                  36,            0.057518,            0.085034,            0.037338,             0.54129,             0.39494,             0.40245,              0.1993,            0.054445,            0.054994,            0.024502,           0.0097011,           0.0097011,           0.0097011
                  37,            0.057454,            0.084914,            0.037223,             0.54172,             0.39582,             0.40317,             0.19957,            0.054436,            0.054975,            0.024465,            0.009684,            0.009684,            0.009684
                  38,            0.057439,            0.084732,            0.037166,             0.54667,             0.39368,              0.4036,             0.19993,             0.05442,            0.054971,            0.024439,           0.0096664,           0.0096664,           0.0096664
                  39,            0.057454,            0.084769,            0.037118,             0.54984,             0.39344,             0.40441,             0.20071,            0.054354,            0.054964,            0.024405,           0.0096484,           0.0096484,           0.0096484
                  40,            0.057401,            0.084523,             0.03709,             0.54432,             0.39674,             0.40505,             0.20124,            0.054321,            0.054947,             0.02437,           0.0096299,           0.0096299,           0.0096299
                  41,            0.057392,            0.084786,            0.037037,             0.54417,             0.39761,             0.40548,             0.20165,            0.054295,            0.054933,            0.024344,            0.009611,            0.009611,            0.009611
                  42,            0.057425,            0.084558,            0.037153,             0.54625,             0.39724,             0.40613,             0.20209,            0.054253,            0.054925,            0.024314,           0.0095916,           0.0095916,           0.0095916
                  43,            0.057336,            0.084803,            0.036898,             0.54999,             0.39599,             0.40655,             0.20201,            0.054262,            0.054914,            0.024274,           0.0095717,           0.0095717,           0.0095717
                  44,             0.05732,            0.084805,            0.036951,             0.56327,             0.39038,             0.40704,             0.20209,            0.054269,            0.054896,            0.024242,           0.0095514,           0.0095514,           0.0095514
                  45,            0.057326,            0.084803,             0.03699,             0.54588,             0.39929,              0.4074,             0.20229,            0.054256,            0.054889,            0.024208,           0.0095307,           0.0095307,           0.0095307
                  46,            0.057297,            0.084778,            0.036886,             0.54644,             0.39983,             0.40766,              0.2024,            0.054265,            0.054878,            0.024189,           0.0095095,           0.0095095,           0.0095095
                  47,            0.057294,            0.084645,            0.036879,             0.54182,             0.40203,             0.40826,             0.20278,            0.054268,            0.054861,            0.024166,           0.0094879,           0.0094879,           0.0094879
                  48,            0.057278,            0.084559,            0.036756,             0.54562,             0.40067,              0.4088,             0.20325,            0.054246,            0.054854,             0.02414,           0.0094659,           0.0094659,           0.0094659
                  49,            0.057223,            0.084271,            0.036825,             0.53675,             0.40583,             0.40941,              0.2039,            0.054209,             0.05485,             0.02411,           0.0094434,           0.0094434,           0.0094434
                  50,            0.057175,            0.084289,             0.03674,              0.5614,             0.39417,             0.40993,             0.20434,            0.054165,            0.054844,            0.024076,           0.0094205,           0.0094205,           0.0094205
                  51,             0.05719,            0.084452,            0.036672,             0.55801,             0.39651,             0.41044,             0.20485,            0.054135,            0.054839,            0.024051,           0.0093971,           0.0093971,           0.0093971
                  52,            0.057192,             0.08449,            0.036623,             0.54917,              0.4017,             0.41087,             0.20532,            0.054101,            0.054836,             0.02402,           0.0093733,           0.0093733,           0.0093733
                  53,            0.057115,             0.08445,            0.036521,             0.54831,             0.40297,             0.41135,             0.20549,            0.054089,             0.05483,            0.024002,           0.0093491,           0.0093491,           0.0093491
                  54,            0.057189,            0.084683,            0.036524,             0.55197,              0.4013,             0.41167,             0.20576,            0.054082,            0.054829,            0.023983,           0.0093245,           0.0093245,           0.0093245
                  55,            0.057169,            0.084834,            0.036609,             0.55148,             0.40258,              0.4121,             0.20604,            0.054056,             0.05482,            0.023957,           0.0092995,           0.0092995,           0.0092995
                  56,            0.057058,            0.084423,            0.036685,             0.55341,             0.40234,             0.41246,             0.20624,            0.054052,            0.054809,            0.023938,            0.009274,            0.009274,            0.009274
                  57,            0.057117,            0.084851,            0.036452,             0.55403,             0.40257,               0.413,             0.20633,            0.054062,            0.054792,            0.023909,           0.0092481,           0.0092481,           0.0092481
                  58,            0.057087,            0.084232,            0.036465,              0.5471,             0.40672,             0.41328,             0.20623,            0.054073,            0.054788,            0.023886,           0.0092219,           0.0092219,           0.0092219
                  59,             0.05706,            0.084342,            0.036535,             0.54849,             0.40594,             0.41377,             0.20668,            0.054042,            0.054793,            0.023867,           0.0091952,           0.0091952,           0.0091952
                  60,             0.05702,            0.084457,            0.036275,             0.54269,             0.40973,             0.41418,             0.20711,            0.054048,            0.054785,             0.02385,           0.0091681,           0.0091681,           0.0091681
                  61,            0.057032,             0.08455,            0.036303,             0.53729,             0.41354,             0.41483,             0.20747,            0.054039,            0.054777,            0.023835,           0.0091406,           0.0091406,           0.0091406
                  62,            0.057022,            0.084718,            0.036371,             0.55691,             0.40456,             0.41545,             0.20781,            0.054003,            0.054769,            0.023813,           0.0091127,           0.0091127,           0.0091127
                  63,            0.056951,            0.084118,            0.036411,             0.55286,             0.40718,             0.41612,             0.20835,            0.053955,            0.054762,            0.023788,           0.0090844,           0.0090844,           0.0090844
                  64,            0.056953,            0.084465,            0.036242,             0.55363,             0.40793,             0.41655,             0.20876,            0.053929,            0.054746,            0.023764,           0.0090557,           0.0090557,           0.0090557
                  65,            0.056897,            0.084569,             0.03617,             0.55931,             0.40543,             0.41714,             0.20949,            0.053859,            0.054737,            0.023741,           0.0090266,           0.0090266,           0.0090266
                  66,            0.056873,            0.084232,            0.036053,             0.56085,             0.40529,             0.41742,             0.20945,             0.05387,            0.054725,            0.023712,           0.0089972,           0.0089972,           0.0089972
